Individual,intercepts
P_Llop_1,-0.766470295
P_Llop_10,0.533422509
P_Llop_11,-0.29645608
P_Llop_12,-0.387853844
P_Llop_13,-0.640880165
P_Llop_14,-0.305372586
P_Llop_15,0.092820869
P_Llop_16,-0.422473622
P_Llop_17,-0.541560367
P_Llop_19,-0.30133667
P_Llop_2,0.673504762
P_Llop_20,-0.247807721
P_Llop_21,-0.253132333
P_Llop_22,0.654776551
P_Llop_24,-0.396155705
P_Llop_25,-0.646701411
P_Llop_26,-0.195282323
P_Llop_27,-0.270419818
P_Llop_28,-0.483541833
P_Llop_29,-0.061283866
P_Llop_3,0.028704014
P_Llop_30,-0.495794923
P_Llop_4,-0.033157184
P_Llop_5,1.064833988
P_Llop_6,0.547742203
P_Llop_7,0.595085006
P_Llop_8,0.480893237
P_Llop_9,0.013632087
Tascons_1,0.451788022
Tascons_10,-0.764670816
Tascons_11,-0.30401536
Tascons_12,-0.305196251
Tascons_13,0.386896225
Tascons_14,0.99084123
Tascons_15,0.333526871
Tascons_16,-0.244683924
Tascons_17,-0.473541597
Tascons_18,-0.615356485
Tascons_19,-0.578712441
Tascons_2,-0.330691477
Tascons_20,-0.085276398
Tascons_21,-0.193352198
Tascons_22,0.088561335
Tascons_23,0.009596027
Tascons_24,-0.672491634
Tascons_25,-0.210918913
Tascons_26,0.0048292
Tascons_27,0.191768788
Tascons_28,-0.0016923
Tascons_29,-0.580652445
Tascons_3,0.329802894
Tascons_30,-0.541903526
Tascons_4,-0.542721055
Tascons_5,0.519066543
Tascons_6,-0.427779461
Tascons_7,0.717610782
Tascons_9,0.715521931
Vaca_1,-0.455991568
Vaca_10,-0.232516661
Vaca_11,-0.069234222
Vaca_12,-0.425709038
Vaca_13,-0.117589632
Vaca_15,-0.578779288
Vaca_16,-0.377761042
Vaca_17,-0.098666745
Vaca_18,-0.405733651
Vaca_2,0.282229812
Vaca_21,0.41919007
Vaca_22,1.196299634
Vaca_23,-0.119197861
Vaca_24,-0.112291046
Vaca_25,0.93793755
Vaca_26,-0.004312057
Vaca_3,-0.452659279
Vaca_5,-0.385312074
Vaca_8,-0.397940219
