,intercepts,het
MPL2,0.658831658,0.882476472
MPL20,-0.363612107,0.839767965
MPL21,-0.341016553,0.980529413
MPL22,0.649823426,0.980529413
MPL24,-0.526769968,1.274688237
MPL25,-0.765780083,0.784423531
MPL26,-0.26161283,0.490264707
MPL27,-0.39114399,0.882476472
MPL28,-0.587666254,0.980529413
MPL29,-0.167419569,1.078582355
MPL3,-0.025311922,0.980529413
MPL30,-0.617897269,0.980529413
MPL4,-0.106361031,0.941498631
MPL5,1.094077696,1.078582355
MPL6,0.528385236,0.588317648
MPL7,0.573479504,0.882476472
MPL9,-0.055350727,0.882476472
MTA1,0.558094192,1.078582355
MTA10,-0.780971245,0.980529413
MTA11,-0.262565635,1.078582355
MTA12,-0.272034081,1.176635296
MTA13,0.492338767,1.176635296
MTA14,1.150976136,1.176635296
MTA15,0.459088951,1.078582355
MTA16,-0.183230473,1.47079412
MTA17,-0.443648353,0.980529413
MTA18,-0.654383437,1.078582355
MTA19,-0.612918652,1.078582355
MTA2,-0.321576606,1.176635296
MTA20,-0.042291764,1.078582355
MTA21,-0.143252217,0.980529413
MTA22,0.162843503,0.882476472
MTA23,0.080429451,0.980529413
MTA24,-0.66161797,1.274688237
MTA25,-0.160387948,1.078582355
MTA26,0.067710417,1.078582355
MTA27,0.276648887,0.882476472
MTA28,0.070118398,0.588317648
MTA29,-0.539193253,0.980529413
MTA3,0.421333466,0.980529413
MTA30,-0.510723019,0.980529413
MTA4,-0.506748115,1.274688237
MTA5,0.637801194,1.274688237
MTA6,-0.384897559,0.980529413
MTA7,0.845510212,1.078582355
MTA9,0.845065827,0.882476472
MVA10,0.022022791,0.980529413
MVA11,-0.416192301,1.176635296
MVA12,-0.078204478,0.882476472
MVA13,-0.591672333,0.588317648
MVA15,-0.336349845,1.078582355
MVA16,-0.034392174,0.882476472
MVA17,-0.375152285,1.078582355
MVA18,0.378365713,0.882476472
MVA20,1.387279644,0.980529413
MVA21,-0.088820467,1.274688237
MVA22,-0.073170684,0.980529413
MVA23,1.102155563,1.176635296
MVA24,0.070952186,1.078582355
MVA25,-0.414809259,0.784423531
MVA26,-0.362907624,0.980529413
MVA8,-0.373733506,0.882476472
